Attendee_ID,Event_ID,Registration_Date,Event_Date,Event_Type,Location,Topic,Career_Stage,Geographic_Region,CAS_Credential_Status,First_Time_Attendee_Flag,Member_Status
A0708,E187,2022-03-04,2022-08-21,Workshop,Houston,Topic 15,Executive,West,Non-Member,True,Non-Member
A0488,E141,2022-08-18,2023-06-24,Annual Meeting,New York,Topic 4,Student,Mid-West,Associate,True,Member
A0390,E077,2022-09-28,2024-02-24,Webinar,Online,Topic 9,Mid-Career,International,Non-Member,False,Non-Member
A0607,E054,2022-02-09,2022-09-20,Webinar,Online,Topic 16,Senior,South,Associate,True,Member
A0072,E025,2022-07-07,2022-10-16,Webinar,Online,Topic 10,Senior,South,Non-Member,True,Non-Member
A0486,E191,2022-08-09,2022-11-11,Local Chapter Event,Miami,Topic 1,Entry-Level,West,Non-Member,False,Non-Member
A0053,E195,2022-08-26,2024-07-08,Seminar,Chicago,Topic 11,Mid-Career,North East,Credentialed,False,Member
A0758,E150,2023-02-27,2024-04-02,Local Chapter Event,New York,Topic 5,Senior,North East,Associate,False,Member
A0712,E072,2022-01-07,2023-06-02,Workshop,New York,Topic 5,Senior,Mid-West,Associate,False,Member
A0206,E032,2023-01-23,2024-05-20,Annual Meeting,Chicago,Topic 10,Senior,South,Non-Member,True,Non-Member
A0768,E187,2022-03-01,2022-08-21,Workshop,Houston,Topic 15,Student,International,Associate,False,Member
A0799,E093,2023-12-04,2024-03-12,Seminar,New York,Topic 8,Senior,South,Credentialed,False,Member
A0308,E089,2022-09-12,2022-09-26,Local Chapter Event,Chicago,Topic 19,Student,North East,Credentialed,False,Member
A0725,E084,2023-02-11,2023-07-29,Local Chapter Event,Chicago,Topic 17,Mid-Career,South,Associate,False,Member
A0388,E013,2024-07-27,2024-08-13,Seminar,Miami,Topic 8,Senior,West,Associate,False,Member
A0626,E177,2023-12-19,2024-12-15,Local Chapter Event,Miami,Topic 17,Executive,West,Non-Member,False,Non-Member
A0337,E182,2022-10-01,2022-12-29,Workshop,Miami,Topic 18,Executive,International,Associate,False,Member
A0920,E058,2024-01-02,2024-03-26,Webinar,Online,Topic 1,Executive,Mid-West,Associate,False,Member
A0109,E023,2022-11-12,2023-10-10,Annual Meeting,San Francisco,Topic 19,Executive,Mid-West,Credentialed,False,Member
A0474,E111,2023-02-28,2023-04-02,Webinar,Online,Topic 3,Entry-Level,North East,Associate,False,Member
A0229,E156,2022-01-17,2022-06-03,Workshop,San Francisco,Topic 18,Senior,South,Credentialed,True,Member
A0887,E002,2022-01-18,2022-05-02,Seminar,San Francisco,Topic 11,Senior,Mid-West,Credentialed,True,Member
A0286,E103,2023-05-14,2023-11-21,Webinar,Online,Topic 1,Mid-Career,Mid-West,Credentialed,False,Member
A0733,E094,2022-06-21,2024-06-15,Local Chapter Event,Miami,Topic 3,Mid-Career,West,Associate,False,Member
A0981,E094,2023-07-22,2024-06-15,Local Chapter Event,Miami,Topic 3,Executive,International,Non-Member,False,Non-Member
A0849,E168,2022-05-24,2022-07-24,Seminar,San Francisco,Topic 16,Student,South,Credentialed,False,Member
A0201,E180,2022-02-23,2022-12-31,Annual Meeting,San Francisco,Topic 19,Entry-Level,West,Non-Member,True,Non-Member
A0825,E052,2023-01-03,2023-10-03,Webinar,Online,Topic 18,Senior,South,Credentialed,True,Member
A0001,E044,2022-04-09,2023-01-20,Seminar,Chicago,Topic 12,Mid-Career,North East,Associate,True,Member
A0720,E009,2022-05-21,2024-04-11,Workshop,Miami,Topic 19,Entry-Level,West,Non-Member,False,Non-Member
A0481,E185,2022-01-28,2022-03-27,Workshop,Houston,Topic 17,Entry-Level,North East,Associate,True,Member
A0190,E012,2022-08-21,2023-07-19,Seminar,Houston,Topic 15,Entry-Level,South,Credentialed,False,Member
A0042,E190,2023-09-08,2023-11-23,Webinar,Online,Topic 2,Senior,North East,Non-Member,False,Non-Member
A0683,E095,2022-03-27,2022-06-03,Workshop,Miami,Topic 14,Mid-Career,South,Credentialed,True,Member
A0424,E151,2022-12-09,2024-02-10,Webinar,Online,Topic 5,Student,West,Non-Member,False,Non-Member
A0946,E102,2022-07-12,2022-09-15,Annual Meeting,San Francisco,Topic 12,Student,South,Associate,True,Member
A0499,E054,2022-08-16,2022-09-20,Webinar,Online,Topic 16,Student,North East,Credentialed,True,Member
A0371,E139,2022-04-15,2024-11-01,Local Chapter Event,Houston,Topic 8,Mid-Career,North East,Associate,False,Member
A0851,E103,2022-10-01,2023-11-21,Webinar,Online,Topic 1,Mid-Career,South,Associate,False,Member
A0006,E147,2022-01-29,2022-05-26,Local Chapter Event,New York,Topic 11,Entry-Level,Mid-West,Credentialed,True,Member
A0962,E038,2022-04-26,2022-07-09,Seminar,New York,Topic 13,Entry-Level,West,Non-Member,False,Non-Member
A0244,E068,2022-06-27,2024-03-08,Webinar,Online,Topic 15,Entry-Level,West,Credentialed,False,Member
A0299,E164,2022-11-05,2024-09-10,Local Chapter Event,Chicago,Topic 19,Entry-Level,International,Credentialed,False,Member
A0570,E032,2022-08-17,2024-05-20,Annual Meeting,Chicago,Topic 10,Student,Mid-West,Non-Member,False,Non-Member
A0247,E188,2022-01-27,2022-02-03,Webinar,Online,Topic 8,Mid-Career,North East,Associate,True,Member
A0252,E099,2023-11-28,2024-03-12,Seminar,Chicago,Topic 19,Entry-Level,Mid-West,Credentialed,False,Member
A0796,E129,2022-11-01,2023-03-21,Workshop,San Francisco,Topic 10,Entry-Level,West,Credentialed,False,Member
A0808,E097,2023-04-18,2024-06-30,Annual Meeting,Miami,Topic 7,Mid-Career,West,Non-Member,False,Non-Member
A0720,E114,2022-02-14,2022-03-03,Workshop,New York,Topic 13,Entry-Level,West,Non-Member,True,Non-Member
A0923,E137,2022-01-13,2022-02-16,Webinar,Online,Topic 14,Senior,North East,Non-Member,True,Non-Member
A0287,E119,2023-06-22,2024-11-14,Webinar,Online,Topic 4,Mid-Career,West,Associate,False,Member
A0511,E034,2023-02-13,2023-04-30,Seminar,Miami,Topic 15,Senior,International,Associate,False,Member
A0510,E118,2022-01-27,2022-05-24,Workshop,San Francisco,Topic 12,Student,International,Non-Member,True,Non-Member
A0916,E192,2022-07-31,2023-10-24,Seminar,Houston,Topic 11,Mid-Career,Mid-West,Credentialed,False,Member
A0835,E152,2022-10-11,2023-11-08,Webinar,Online,Topic 19,Student,South,Credentialed,False,Member
A0464,E113,2022-04-16,2022-10-06,Webinar,Online,Topic 9,Senior,International,Associate,True,Member
A0693,E044,2022-06-12,2023-01-20,Seminar,Chicago,Topic 12,Student,Mid-West,Associate,False,Member
A0983,E095,2022-05-21,2022-06-03,Workshop,Miami,Topic 14,Mid-Career,South,Associate,True,Member
A0471,E132,2022-07-03,2024-04-08,Webinar,Online,Topic 7,Student,South,Credentialed,False,Member
A0368,E129,2022-03-08,2023-03-21,Workshop,San Francisco,Topic 10,Mid-Career,South,Credentialed,False,Member
A0670,E131,2023-03-10,2024-01-24,Workshop,Chicago,Topic 8,Mid-Career,Mid-West,Credentialed,False,Member
A0628,E190,2022-10-22,2023-11-23,Webinar,Online,Topic 2,Senior,South,Non-Member,False,Non-Member
A0765,E143,2023-01-02,2023-04-06,Webinar,Online,Topic 13,Mid-Career,West,Associate,True,Member
A0948,E046,2022-03-30,2022-05-03,Seminar,Miami,Topic 2,Senior,International,Credentialed,False,Member
A0889,E122,2023-09-18,2024-01-03,Workshop,Chicago,Topic 15,Student,West,Credentialed,False,Member
A0875,E112,2023-04-17,2024-09-04,Seminar,Miami,Topic 12,Entry-Level,Mid-West,Non-Member,True,Non-Member
A0964,E091,2022-04-03,2022-04-27,Annual Meeting,New York,Topic 12,Senior,West,Non-Member,True,Non-Member
A0739,E104,2023-07-07,2024-08-14,Workshop,Miami,Topic 12,Mid-Career,South,Non-Member,False,Non-Member
A0242,E138,2023-05-19,2023-10-18,Webinar,Online,Topic 11,Mid-Career,International,Non-Member,False,Non-Member
A0203,E061,2023-01-14,2023-05-25,Local Chapter Event,New York,Topic 18,Mid-Career,West,Credentialed,False,Member
A0237,E181,2022-02-26,2024-10-27,Webinar,Online,Topic 14,Mid-Career,South,Associate,False,Member
A0443,E102,2022-03-15,2022-09-15,Annual Meeting,San Francisco,Topic 12,Mid-Career,International,Credentialed,True,Member
A0571,E002,2022-03-02,2022-05-02,Seminar,San Francisco,Topic 11,Entry-Level,Mid-West,Non-Member,True,Non-Member
A0819,E030,2022-04-19,2024-08-18,Workshop,San Francisco,Topic 1,Senior,South,Credentialed,False,Member
A0844,E167,2024-06-10,2024-09-10,Annual Meeting,Miami,Topic 2,Mid-Career,International,Credentialed,False,Member
A0968,E191,2022-08-09,2022-11-11,Local Chapter Event,Miami,Topic 1,Senior,North East,Non-Member,True,Non-Member
A0890,E094,2024-01-06,2024-06-15,Local Chapter Event,Miami,Topic 3,Senior,Mid-West,Associate,True,Member
A0698,E184,2022-01-24,2022-01-28,Annual Meeting,New York,Topic 17,Entry-Level,International,Associate,True,Member
A0543,E052,2023-03-16,2023-10-03,Webinar,Online,Topic 18,Student,North East,Credentialed,True,Member
A0278,E040,2023-01-21,2023-11-15,Seminar,San Francisco,Topic 9,Mid-Career,West,Credentialed,False,Member
A0833,E191,2022-07-29,2022-11-11,Local Chapter Event,Miami,Topic 1,Entry-Level,North East,Non-Member,False,Non-Member
A0022,E166,2022-01-09,2022-07-03,Webinar,Online,Topic 17,Entry-Level,West,Non-Member,True,Non-Member
A0702,E175,2022-06-16,2023-06-30,Seminar,Chicago,Topic 13,Senior,North East,Credentialed,False,Member
A0849,E078,2022-06-13,2022-09-03,Workshop,Miami,Topic 10,Student,South,Credentialed,False,Member
A0366,E014,2022-01-30,2022-02-04,Local Chapter Event,Houston,Topic 18,Mid-Career,Mid-West,Credentialed,True,Member
A0655,E054,2022-08-30,2022-09-20,Webinar,Online,Topic 16,Mid-Career,South,Non-Member,False,Non-Member
A0415,E163,2022-07-17,2023-03-23,Webinar,Online,Topic 6,Entry-Level,North East,Credentialed,False,Member
A0982,E058,2022-08-06,2024-03-26,Webinar,Online,Topic 1,Mid-Career,North East,Credentialed,False,Member
A0930,E026,2022-08-07,2022-08-19,Webinar,Online,Topic 7,Senior,International,Associate,False,Member
A0532,E134,2023-03-25,2024-04-03,Workshop,Miami,Topic 6,Entry-Level,West,Credentialed,False,Member
A0754,E146,2023-06-11,2024-10-25,Annual Meeting,New York,Topic 1,Entry-Level,South,Non-Member,False,Non-Member
A0462,E013,2023-07-11,2024-08-13,Seminar,Miami,Topic 8,Executive,South,Non-Member,False,Non-Member
A0887,E143,2022-08-28,2023-04-06,Webinar,Online,Topic 13,Senior,Mid-West,Credentialed,False,Member
A0419,E081,2023-09-05,2023-11-16,Seminar,Houston,Topic 19,Entry-Level,North East,Credentialed,True,Member
A0675,E160,2022-02-14,2023-08-01,Webinar,Online,Topic 7,Entry-Level,International,Associate,False,Member
A0872,E152,2022-05-26,2023-11-08,Webinar,Online,Topic 19,Student,Mid-West,Credentialed,True,Member
A0327,E107,2022-02-02,2022-03-31,Workshop,Chicago,Topic 10,Student,North East,Associate,False,Member
A0164,E141,2022-05-09,2023-06-24,Annual Meeting,New York,Topic 4,Entry-Level,South,Non-Member,True,Non-Member
A0398,E165,2022-03-10,2022-03-22,Local Chapter Event,Houston,Topic 10,Executive,International,Credentialed,True,Member
A0388,E173,2022-08-26,2023-08-27,Workshop,Miami,Topic 6,Senior,West,Associate,True,Member
A0194,E031,2022-05-17,2024-10-25,Webinar,Online,Topic 14,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0792,E015,2022-07-21,2024-10-22,Workshop,Chicago,Topic 4,Student,North East,Credentialed,True,Member
A0487,E045,2023-08-07,2023-12-31,Local Chapter Event,Houston,Topic 11,Student,North East,Associate,False,Member
A0504,E108,2024-09-29,2024-10-18,Webinar,Online,Topic 9,Entry-Level,West,Non-Member,True,Non-Member
A0125,E057,2024-03-09,2024-11-26,Local Chapter Event,New York,Topic 9,Senior,West,Non-Member,False,Non-Member
A0458,E146,2024-01-04,2024-10-25,Annual Meeting,New York,Topic 1,Executive,West,Credentialed,True,Member
A0423,E060,2022-02-15,2022-04-14,Webinar,Online,Topic 3,Mid-Career,International,Credentialed,False,Member
A0663,E197,2023-09-27,2024-08-04,Webinar,Online,Topic 2,Senior,North East,Non-Member,False,Non-Member
A0494,E108,2024-07-08,2024-10-18,Webinar,Online,Topic 9,Entry-Level,International,Credentialed,False,Member
A0006,E032,2024-02-23,2024-05-20,Annual Meeting,Chicago,Topic 10,Entry-Level,Mid-West,Credentialed,False,Member
A0424,E122,2022-07-22,2024-01-03,Workshop,Chicago,Topic 15,Student,West,Non-Member,True,Non-Member
A0212,E006,2023-01-15,2023-04-05,Webinar,Online,Topic 12,Mid-Career,Mid-West,Credentialed,False,Member
A0447,E067,2022-10-27,2023-03-14,Local Chapter Event,San Francisco,Topic 2,Mid-Career,West,Credentialed,False,Member
A0401,E096,2024-04-29,2024-12-28,Annual Meeting,Houston,Topic 5,Executive,International,Credentialed,True,Member
A0809,E133,2023-05-20,2024-10-21,Webinar,Online,Topic 17,Mid-Career,Mid-West,Associate,True,Member
A0454,E035,2022-05-31,2023-06-25,Seminar,San Francisco,Topic 19,Entry-Level,South,Non-Member,False,Non-Member
A0880,E011,2023-05-31,2023-08-24,Local Chapter Event,Chicago,Topic 9,Entry-Level,South,Associate,False,Member
A0393,E060,2022-01-15,2022-04-14,Webinar,Online,Topic 3,Entry-Level,Mid-West,Non-Member,True,Non-Member
A0225,E018,2022-08-22,2024-03-26,Workshop,Houston,Topic 8,Entry-Level,South,Non-Member,False,Non-Member
A0841,E023,2022-05-06,2023-10-10,Annual Meeting,San Francisco,Topic 19,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0175,E069,2022-09-14,2024-08-17,Local Chapter Event,Houston,Topic 16,Student,Mid-West,Associate,False,Member
A0727,E030,2022-08-26,2024-08-18,Workshop,San Francisco,Topic 1,Student,South,Non-Member,False,Non-Member
A0248,E112,2023-08-10,2024-09-04,Seminar,Miami,Topic 12,Student,North East,Credentialed,True,Member
A0718,E058,2023-10-02,2024-03-26,Webinar,Online,Topic 1,Executive,West,Credentialed,False,Member
A0937,E025,2022-04-27,2022-10-16,Webinar,Online,Topic 10,Mid-Career,International,Associate,False,Member
A0048,E010,2023-06-08,2023-10-09,Seminar,Chicago,Topic 4,Entry-Level,West,Associate,True,Member
A0597,E149,2022-01-08,2022-04-15,Workshop,New York,Topic 16,Senior,International,Credentialed,True,Member
A0503,E192,2022-09-16,2023-10-24,Seminar,Houston,Topic 11,Executive,West,Associate,False,Member
A0844,E121,2022-02-24,2024-07-23,Local Chapter Event,Chicago,Topic 5,Mid-Career,International,Credentialed,True,Member
A0331,E016,2023-06-15,2023-12-04,Webinar,Online,Topic 12,Entry-Level,International,Credentialed,False,Member
A0483,E187,2022-01-07,2022-08-21,Workshop,Houston,Topic 15,Student,Mid-West,Non-Member,True,Non-Member
A0953,E108,2022-08-28,2024-10-18,Webinar,Online,Topic 9,Entry-Level,South,Credentialed,False,Member
A0304,E042,2022-11-30,2024-08-09,Annual Meeting,New York,Topic 2,Senior,South,Credentialed,False,Member
A0900,E130,2022-01-28,2022-02-08,Workshop,Miami,Topic 13,Entry-Level,North East,Credentialed,True,Member
A0283,E079,2022-09-21,2024-01-29,Workshop,Chicago,Topic 13,Senior,Mid-West,Non-Member,False,Non-Member
A0703,E111,2022-03-05,2023-04-02,Webinar,Online,Topic 3,Senior,Mid-West,Associate,True,Member
A1000,E124,2024-02-06,2024-07-01,Seminar,Miami,Topic 8,Entry-Level,International,Non-Member,False,Non-Member
A0555,E017,2022-05-01,2022-06-11,Workshop,Houston,Topic 14,Mid-Career,International,Non-Member,False,Non-Member
A0804,E008,2023-09-23,2023-12-01,Workshop,San Francisco,Topic 12,Mid-Career,North East,Non-Member,False,Non-Member
A0861,E175,2023-02-05,2023-06-30,Seminar,Chicago,Topic 13,Entry-Level,West,Non-Member,False,Non-Member
A0782,E071,2022-01-13,2022-01-17,Local Chapter Event,Miami,Topic 14,Mid-Career,West,Non-Member,True,Non-Member
A0381,E037,2022-08-17,2024-03-06,Webinar,Online,Topic 12,Mid-Career,International,Non-Member,False,Non-Member
A0431,E174,2023-04-07,2023-10-07,Workshop,Chicago,Topic 14,Senior,West,Non-Member,False,Non-Member
A0618,E021,2022-01-28,2024-11-30,Seminar,Miami,Topic 1,Student,Mid-West,Credentialed,False,Member
A0311,E029,2022-06-14,2023-11-15,Webinar,Online,Topic 3,Entry-Level,North East,Associate,False,Member
A0898,E150,2022-05-27,2024-04-02,Local Chapter Event,New York,Topic 5,Senior,International,Credentialed,False,Member
A0965,E182,2022-02-15,2022-12-29,Workshop,Miami,Topic 18,Senior,North East,Associate,False,Member
A0787,E034,2022-11-15,2023-04-30,Seminar,Miami,Topic 15,Mid-Career,South,Credentialed,False,Member
A0886,E100,2023-03-13,2023-03-18,Workshop,Miami,Topic 13,Student,Mid-West,Associate,True,Member
A0367,E164,2024-07-04,2024-09-10,Local Chapter Event,Chicago,Topic 19,Senior,International,Credentialed,False,Member
A0550,E070,2022-12-02,2023-10-21,Webinar,Online,Topic 17,Mid-Career,North East,Non-Member,False,Non-Member
A0441,E148,2023-01-24,2024-05-02,Webinar,Online,Topic 17,Entry-Level,International,Associate,False,Member
A0050,E082,2022-12-10,2023-04-16,Annual Meeting,Chicago,Topic 2,Mid-Career,South,Associate,True,Member
A0638,E075,2022-02-28,2022-05-08,Workshop,Chicago,Topic 3,Senior,International,Associate,False,Member
A0836,E044,2022-10-26,2023-01-20,Seminar,Chicago,Topic 12,Student,North East,Associate,True,Member
A0649,E106,2022-03-10,2023-05-14,Webinar,Online,Topic 17,Senior,West,Non-Member,True,Non-Member
A0147,E159,2023-03-18,2023-09-16,Workshop,Miami,Topic 14,Senior,North East,Associate,True,Member
A0853,E189,2023-08-31,2024-01-18,Seminar,New York,Topic 5,Executive,South,Associate,False,Member
A0181,E032,2022-05-19,2024-05-20,Annual Meeting,Chicago,Topic 10,Student,Mid-West,Non-Member,False,Non-Member
A0130,E194,2022-01-18,2022-08-31,Annual Meeting,Miami,Topic 4,Executive,South,Credentialed,True,Member
A0864,E144,2022-09-03,2023-01-25,Local Chapter Event,Miami,Topic 15,Senior,Mid-West,Credentialed,True,Member
A0927,E107,2022-01-12,2022-03-31,Workshop,Chicago,Topic 10,Senior,International,Non-Member,True,Non-Member
A0887,E085,2023-02-15,2023-11-13,Webinar,Online,Topic 11,Senior,Mid-West,Credentialed,False,Member
A0879,E050,2022-04-03,2022-05-27,Workshop,Houston,Topic 9,Student,Mid-West,Associate,True,Member
A0992,E065,2022-07-01,2023-02-05,Workshop,Houston,Topic 19,Mid-Career,North East,Associate,True,Member
A0618,E199,2022-01-25,2022-06-22,Webinar,Online,Topic 6,Student,Mid-West,Credentialed,False,Member
A0772,E108,2024-08-29,2024-10-18,Webinar,Online,Topic 9,Entry-Level,West,Associate,False,Member
A0296,E050,2022-01-13,2022-05-27,Workshop,Houston,Topic 9,Mid-Career,International,Credentialed,True,Member
A0195,E027,2022-07-14,2022-07-20,Webinar,Online,Topic 2,Entry-Level,International,Credentialed,True,Member
A0817,E144,2022-07-02,2023-01-25,Local Chapter Event,Miami,Topic 15,Mid-Career,West,Non-Member,True,Non-Member
A0030,E084,2022-04-07,2023-07-29,Local Chapter Event,Chicago,Topic 17,Senior,International,Associate,False,Member
A0381,E010,2022-12-28,2023-10-09,Seminar,Chicago,Topic 4,Mid-Career,International,Non-Member,False,Non-Member
A0374,E042,2022-09-04,2024-08-09,Annual Meeting,New York,Topic 2,Mid-Career,North East,Associate,False,Member
A0283,E041,2022-06-10,2023-03-18,Local Chapter Event,Chicago,Topic 3,Senior,Mid-West,Non-Member,True,Non-Member
A0474,E089,2022-03-15,2022-09-26,Local Chapter Event,Chicago,Topic 19,Entry-Level,North East,Associate,False,Member
A0588,E090,2023-05-21,2023-10-19,Workshop,San Francisco,Topic 5,Student,West,Associate,False,Member
A0738,E176,2022-03-02,2024-03-04,Webinar,Online,Topic 15,Senior,West,Credentialed,False,Member
A0578,E065,2022-06-14,2023-02-05,Workshop,Houston,Topic 19,Executive,North East,Non-Member,False,Non-Member
A0408,E155,2022-02-27,2023-05-03,Webinar,Online,Topic 8,Mid-Career,South,Credentialed,True,Member
A0078,E194,2022-01-13,2022-08-31,Annual Meeting,Miami,Topic 4,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0613,E156,2022-04-14,2022-06-03,Workshop,San Francisco,Topic 18,Entry-Level,South,Associate,True,Member
A0280,E149,2022-03-20,2022-04-15,Workshop,New York,Topic 16,Executive,International,Non-Member,True,Non-Member
A0869,E146,2023-11-06,2024-10-25,Annual Meeting,New York,Topic 1,Senior,International,Credentialed,False,Member
A0128,E058,2023-03-31,2024-03-26,Webinar,Online,Topic 1,Student,Mid-West,Non-Member,True,Non-Member
A0036,E173,2022-07-26,2023-08-27,Workshop,Miami,Topic 6,Entry-Level,International,Credentialed,True,Member
A0639,E080,2023-03-17,2024-04-07,Workshop,New York,Topic 4,Entry-Level,South,Non-Member,True,Non-Member
A0729,E096,2022-06-14,2024-12-28,Annual Meeting,Houston,Topic 5,Entry-Level,South,Non-Member,False,Non-Member
A0148,E018,2023-10-26,2024-03-26,Workshop,Houston,Topic 8,Mid-Career,North East,Credentialed,False,Member
A0480,E109,2023-12-01,2024-04-05,Webinar,Online,Topic 13,Executive,International,Associate,False,Member
A0965,E196,2022-01-02,2022-01-04,Annual Meeting,New York,Topic 6,Senior,North East,Associate,True,Member
A0755,E198,2022-12-04,2024-04-26,Workshop,Chicago,Topic 19,Entry-Level,North East,Non-Member,False,Non-Member
A0599,E142,2022-02-16,2023-05-17,Annual Meeting,New York,Topic 1,Mid-Career,South,Associate,False,Member
A0800,E015,2023-11-13,2024-10-22,Workshop,Chicago,Topic 4,Student,South,Non-Member,True,Non-Member
A0310,E044,2022-04-20,2023-01-20,Seminar,Chicago,Topic 12,Mid-Career,International,Non-Member,False,Non-Member
A0795,E116,2022-09-14,2023-03-21,Local Chapter Event,Houston,Topic 9,Entry-Level,South,Credentialed,False,Member
A0891,E079,2022-09-03,2024-01-29,Workshop,Chicago,Topic 13,Executive,International,Credentialed,False,Member
A0287,E099,2022-03-25,2024-03-12,Seminar,Chicago,Topic 19,Mid-Career,West,Associate,True,Member
A0110,E182,2022-10-16,2022-12-29,Workshop,Miami,Topic 18,Entry-Level,South,Non-Member,True,Non-Member
A0936,E141,2022-10-19,2023-06-24,Annual Meeting,New York,Topic 4,Senior,West,Non-Member,False,Non-Member
A0645,E029,2023-02-14,2023-11-15,Webinar,Online,Topic 3,Senior,Mid-West,Associate,False,Member
A0607,E022,2023-05-24,2023-06-05,Webinar,Online,Topic 12,Senior,South,Associate,False,Member
A0731,E089,2022-05-10,2022-09-26,Local Chapter Event,Chicago,Topic 19,Senior,West,Credentialed,False,Member
A0724,E172,2022-01-12,2022-03-02,Seminar,San Francisco,Topic 5,Senior,West,Associate,True,Member
A0935,E054,2022-02-24,2022-09-20,Webinar,Online,Topic 16,Executive,Mid-West,Credentialed,True,Member
A0730,E016,2023-07-13,2023-12-04,Webinar,Online,Topic 12,Executive,Mid-West,Associate,False,Member
A0963,E193,2022-04-22,2022-12-16,Seminar,New York,Topic 3,Student,International,Non-Member,True,Non-Member
A0129,E081,2022-11-23,2023-11-16,Seminar,Houston,Topic 19,Student,International,Associate,True,Member
A0008,E029,2023-11-05,2023-11-15,Webinar,Online,Topic 3,Mid-Career,South,Credentialed,False,Member
A0131,E188,2022-01-28,2022-02-03,Webinar,Online,Topic 8,Student,International,Non-Member,True,Non-Member
A0364,E109,2023-11-11,2024-04-05,Webinar,Online,Topic 13,Student,West,Credentialed,True,Member
